Feature ID,Area/Module,Feature Name,User Role,User Story,Expected Behavior,Source Evidence,UI/API Entry Point,Test Evidence,Status,Priority,Code Confidence,Discovery Method,Dependencies,Notes,Last Reviewed
GW-001,App shell / boot (src/main.js),Editor boots to ready state,Author,"As an author, I can open the app and have the editor load to a ready state so I can start building.","Loader veil (#loader) shows the building message; boot() resolves the world by priority (mod -> worldpack -> sample -> saved -> default), grounds the player, and instantiates WorldEditor; markWorldReady() removes #loader and sets window.__WORLD_READY__=true and body[data-world-ready]=true with no console errors; on failure boot().catch sets the loader subtitle to a failure message.",src/main.js:1101 (boot); src/main.js:1278 (markWorldReady); src/main.js:1409 (error handler); index.html:204 (#loader),"index.html -> /src/main.js (default editor mode, no query params)",npm run test:browser,Confirmed,Critical,High,route+code,WorldRuntimeLoader; AssetLibrary; WorldSerializer; WorldEditor,Supersedes candidate US-001. Boot failure surfaces only as a loader subtitle (no dismissable error UI) -> candidate UX defect for Phase E.,2026-06-22
GW-002,"Navigation / mode switch (src/main.js, index.html)",Enter Play from toolbar,Author,"As an author, I can click Play to launch the current world in play mode so I can test it as a player.","Clicking #enter-play flushes any pending autosave, then navigates to /?play=1; play mode adds body.play-mode (CSS hides the editor controls hint), shows the arrival controls hint and the #exit-play button, and wires runtime systems instead of the editor.",index.html:190 (#enter-play); src/main.js:1238 (click -> flushAutosave -> /?play=1); src/main.js:70-73 (playMode flag + body.play-mode),index.html #enter-play button -> /?play=1,npm run test:editor-ux1,Confirmed,High,High,component+code,WorldEditor.flushAutosave; URL ?play handling in main.js,Supersedes candidate US-002. test:editor-ux1 covers 9 candidate stories; per-story coverage adequacy to be audited in Phase T.,2026-06-22
GW-003,"Navigation / mode switch (src/main.js, index.html)",Return to editor (Exit Play),Player/Author,"As a player in play mode, I can click the Editor button to return to the authoring surface.",#exit-play is hidden by default and shown only when body has play-mode (CSS); clicking it navigates to / (editor mode). The editor toolbar (#toolbar) is hidden in runtime/play mode.,"index.html:179-180,195 (#exit-play CSS + button); src/main.js:1192 (exit-play click -> location='/'); src/main.js:1187 (toolbar hidden in runtime)",#exit-play button (play mode only) -> /,npm run test:editor-ux1,Confirmed,High,High,component+code,play-mode CSS; main.js runtime branch,Supersedes candidate US-003.,2026-06-22
GW-004,Player (src/player/PlayerController.js),Move and sprint,Player,"As a player, I can move with WASD/arrows relative to the camera and sprint with Shift while staying grounded on the terrain.","getMoveAxis maps WASD/arrows to forward/strafe; motion is built from the camera yaw so W always goes where the camera faces; walkSpeed 8.5, sprintSpeed 15 while ShiftLeft/Right is held; horizontal velocity is damped (accel 13); horizontal collisions are resolved by ColliderSystem; the player stays grounded via terrain/collider support height each frame.",src/player/PlayerController.js:35-64 (move/sprint); src/core/input.js:53 (getMoveAxis); src/player/PlayerController.js:99 (_groundHeight),Keyboard WASD/Arrows + Shift in runtime (?play / ?runtime),npm run test:first-playable-proof,Confirmed,Critical,High,code,Input; PlayerCameraController.yaw; ColliderSystem; terrainSampling.getHeight,Supersedes candidate US-004. first-playable-proof drives movement via __PLAYER_MOVE_DO__ (input-equivalent hold/step).,2026-06-22
GW-005,Player (src/player/PlayerController.js),Jump,Player,"As a player, I can press Space to jump from the ground and land back safely on the terrain.",When grounded and Space wasPressed -> velocityY = jumpSpeed (8.5) and grounded=false; gravity 26 integrates velocityY each frame; when position.y <= groundY the player snaps to groundY with velocityY=0 and grounded=true. Space is preventDefault'd so the page never scrolls.,src/player/PlayerController.js:68-81 (jump+gravity+land); src/core/input.js:92-95 (Space preventDefault),Space key in runtime (?play / ?runtime),npm run test:first-playable-hidden-proof,Confirmed,High,High,code,Input.wasPressed; terrain/collider ground height,Supersedes candidate US-005.,2026-06-22
GW-006,Camera (src/player/PlayerCameraController.js),Look and switch camera mode,Player,"As a player, I can look with the mouse (pointer-locked), release with Esc, and toggle first/third person with V.","Clicking the canvas requests pointer lock; while locked, mouse deltas drive yaw and clamped pitch (minPitch -1.15, maxPitch 0.85); Esc releases the lock (browser); KeyV toggleMode flips first/third and shows/hides the player mesh; a centre crosshair shows only in first-person while the pointer is locked.","src/player/PlayerCameraController.js:42-62 (look + toggle); src/core/input.js:71-73,117-124 (pointer lock); src/main.js:1382-1383 (crosshair)",Mouse + Esc + KeyV in runtime (?play / ?runtime),npm run test:first-playable-proof,Confirmed,High,High,code,Input pointer lock; Player.mesh,Supersedes candidate US-006.,2026-06-22
GW-007,"Debug (src/debug/DebugPanel.js, BudgetHUD.js)",Runtime debug + performance-budget HUD,Developer/Author,"As a developer/author, I can toggle a debug HUD (backquote) and a performance-budget HUD (B) to inspect runtime stats.","DebugPanel renders fps/camera/draw-calls/vegetation/player stats and toggles via Backquote (debug.toggle); BudgetHUD shows green/yellow/red budget status, samples already-computed counters at ~4 Hz into a reused scratch, and toggles via KeyB; both default visible while authoring and hidden in runtime; BudgetHUD is DEV-only (stripped from production builds).",src/debug/DebugPanel.js:34 (toggle); src/debug/BudgetHUD.js:26 (constructor/throttle); src/main.js:1316-1317 (Backquote/KeyB toggles); src/main.js:1033 (DEV-only construction),Backquote / KeyB keys in runtime; HUDs visible by default in editor,npm run test:budget,Confirmed,Medium,High,code,PerformanceBudget; renderer.info; system .stats,Supersedes candidate US-007 (candidate US-077 performance HUD shares BudgetHUD). BudgetHUD absent in production builds.,2026-06-22
GW-008,"World data / schema (src/world/WorldDocument.js, WorldValidation.js)",Create and validate world document,Author,"As an author, I can create a new world and have any loaded document validated/normalized so invalid data cannot corrupt runtime state.","createWorldDocument builds a v2 document (alpine terrain default; grass/trees/bushes/water/atmosphere/wildlife/lighting configs; empty objects/objectives/enemies/encounters). validateWorldDocument migrates v1/legacy saves, applies safe defaults on an unknown version, allow-lists primitives/object-types/camera-mode/collider-types, caps placed objects at MAX_PLACED_OBJECTS (20000), and returns {document, warnings}; it never throws on bad fields (replaces with defaults and pushes a warning).",src/world/WorldDocument.js:17 (createWorldDocument); src/world/WorldValidation.js:37 (validateWorldDocument); src/world/WorldValidation.js:27 (MAX_PLACED_OBJECTS),src/world API: new-world default + validation on every load/save/import,npm run test:world,Confirmed,Critical,High,code+test,sanitizeLighting/Water/Atmosphere/Wildlife/Ambient/Particles/Prefab/Animation/Interaction; terrain profiles,Supersedes candidate US-008. Validation is permissive (console warnings only); silent normalization is a candidate UX gap for Phase E.,2026-06-22
GW-009,World persistence (src/world/WorldSerializer.js),Save and load world (localStorage),Author,"As an author, I can save my world and have it reload automatically so my work persists across sessions.","save() validates the document (stamping metadata.updatedAt) and writes JSON to localStorage key grass-world-builder-save; load() reads that key, returns null when absent, else JSON.parse + validateWorldDocument -> {document, warnings}; boot() uses load() as the 4th-priority world source.",src/world/WorldSerializer.js:9 (save); src/world/WorldSerializer.js:21 (load); src/world/WorldDocument.js:15 (WORLD_STORAGE_KEY); src/main.js:1139 (boot uses load),src/world API: editor autosave + boot load,npm run test:editor-ux1,Confirmed,Critical,High,code,validateWorldDocument; localStorage,Supersedes candidate US-009. load() calls JSON.parse(raw) with no try/catch -> a corrupted localStorage value throws unhandled at boot; candidate Data/State defect (High) for Phase E.,2026-06-22
GW-010,World files (src/world/WorldExport.js),Import and export world files,Author,"As an author, I can export my world to a .world.json file and import a world file back, with validation and identity preserved.","exportWorldDocument validates the document and downloads <slug(name)>.world.json as a pretty-printed JSON blob via an object URL; importWorldDocumentFile reads a File via FileReader, JSON.parses it, runs validateWorldDocument, resolves {document, warnings}, and rejects on parse/read error.",src/world/WorldExport.js:3 (exportWorldDocument); src/world/WorldExport.js:17 (importWorldDocumentFile),WorldEditor toolbar import/export (src/editor/WorldEditor.js) -> WorldExport API,npm run test:world,Confirmed,High,Med,code,validateWorldDocument; Blob/FileReader/URL,Supersedes candidate US-010. WorldExport API confirmed first-hand; the WorldEditor button wiring (src/editor/WorldEditor.js import/export handlers) is NOT yet line-verified -> Code Confidence Med. Editor-level import error surfaces as a label only (candidate UX gap).,2026-06-22
GW-011,Editor / hierarchy (src/editor/HierarchyPanel.js),Select objects from the hierarchy outliner,Author,"As an author, I can select world objects from a sectioned hierarchy list so I can find and edit them without hunting in the viewport.",HierarchyPanel.render lists placed/generated objects (+ read-only weapons/objective/authoring) in sections with live counts; clicking a selectable row fires onSelect (replace) and Shift/Ctrl/Cmd-click fires onToggleSelect (additive); selection is two-way (viewport picks re-render rows highlighted); empty world shows the place-an-object prompt; each section caps at 200 rows and surfaces the rest as a +N more line.,"src/editor/HierarchyPanel.js:49 (render); src/editor/HierarchyPanel.js:104-107 (click->select/toggle); src/editor/HierarchyPanel.js:20,75-81 (200-cap + +N more); src/editor/SelectionGroup.js:61 (set)",Editor sidebar Hierarchy panel (editor mode),npm run test:editor-ux1,Confirmed,High,High,component+code,SelectionGroup; WorldObjectManager,Supersedes candidate US-012. 200-rows/section cap hides overflow behind +N more (honest but no search/filter) - candidate UX gap for Phase E.,2026-06-22
GW-012,Editor / placement (src/editor/WorldEditor.js),Place primitive/library assets onto terrain,Author,"As an author, I can choose an asset and click the terrain to place a grounded, selectable object.","With an asset armed, a terrain click resolves the hit point, applies snap (snap.snapPlacement), creates the object via the manager, and records an AddObjectsCommand (undoable); placement marks the world dirty (schedules autosave) and refreshes the outliner. _placeAssetAt(x,z) is the single placement path.",src/editor/WorldEditor.js:1063 (click->_placeAssetAt); src/editor/WorldEditor.js:1069-1073 (_placeAssetAt + snap + AddObjectsCommand); src/assets/AssetLibrary.js (asset source),Editor viewport click with an armed asset (editor mode),npm run test:editor-ux1,Confirmed,Critical,High,code,AssetLibrary; WorldObjectManager; SnapSettings; CommandStack,Supersedes candidate US-013.,2026-06-22
GW-013,Editor / transform (src/editor/TransformInspector.js),Move/rotate/scale a selection (gizmo + numeric inspector),Author,"As an author, I can transform a selected object with the gizmo or by typing exact position/rotation/scale, and the change is undoable.","The TransformControls gizmo drag records a TransformObjectsCommand on drag-end (before/after states); TransformInspector shows the primary selection's pos/rotation(deg)/scale, commits on change/Enter (rotation deg->rad), and is disabled when 0 or >1 objects are selected; typed edits go through the same TransformObjectsCommand so undo + autosave fire; invalid numeric input falls back to the current value.",src/editor/TransformInspector.js:44 (setObject/disable); src/editor/TransformInspector.js:71-83 (_commit deg->rad); src/editor/TransformInspector.js:108-110 (commit on change/Enter); src/editor/WorldEditor.js:216 (drag-end TransformObjectsCommand),Editor gizmo + Transform inspector (editor mode),npm run test:editor-ux1,Confirmed,High,High,component+code,TransformObjectsCommand; SelectionGroup; SnapSettings,Supersedes candidate US-014. Numeric inspector is single-primary only (disabled on multi-select) by design.,2026-06-22
GW-014,Editor / multi-select (src/editor/SelectionGroup.js),Multi-select group transform,Author,"As an author, I can select multiple objects and transform them together about a shared pivot.","SelectionGroup holds the selected objects without reparenting (world-correct for serialization), draws a BoxHelper per object, centres a pivot at the selection centroid (recenterPivot), and applies a delta-matrix group transform during drag (beginDrag/applyDrag/endDrag) preserving relative offsets; grass/tree/collider rebuild happens once on drag-end (returns before+after boxes); primary = most-recently added drives single-object UI.",src/editor/SelectionGroup.js:88 (recenterPivot); src/editor/SelectionGroup.js:102-132 (begin/apply/endDrag delta-matrix); src/editor/SelectionGroup.js:136-150 (BoxHelpers),Editor viewport additive selection (Shift/Ctrl) + gizmo (editor mode),npm run test:editor-ux1,Confirmed,High,High,code,HierarchyPanel additive select; TransformControls,Supersedes candidate US-015.,2026-06-22
GW-015,Editor / object ops (src/editor/commands/WorldObjectCommands.js),Duplicate and delete objects,Author,"As an author, I can duplicate or delete the selected objects, and both are undoable.",Duplicate (_duplicateSelected) clones each source via manager.duplicate and records one AddObjectsCommand; Delete (_deleteSelected) records a RemoveObjectsCommand via history.execute (do() detaches/parks the objects); the Delete/Backspace key also triggers delete; RemoveObjectsCommand.undo re-attaches the exact same instance (object retention) and dispose() frees only parked objects.,"src/editor/WorldEditor.js:1253-1262 (_duplicateSelected); src/editor/WorldEditor.js:1132-1139 (_deleteSelected); src/editor/WorldEditor.js:461-462,943 (buttons + Delete/Backspace key); src/editor/commands/WorldObjectCommands.js:17,43 (Add/Remove commands)",Editor Duplicate/Delete buttons + Delete/Backspace key (editor mode),npm run test:undo,Confirmed,High,High,code,CommandStack; WorldObjectManager.duplicate/detach/attach,Supersedes candidate US-016.,2026-06-22
GW-016,Editor / history (src/editor/CommandStack.js),Undo and redo,Author,"As an author, I can undo and redo my changes with Ctrl/Cmd+Z (Shift+Z or Y to redo) or the Undo/Redo buttons.","CommandStack (limit 100) records commands via execute()/push(); undo() pops -> command.undo() -> pushes to redo; redo() re-applies; a new action discards the redo branch and disposes parked objects; eviction past the limit disposes the oldest. WorldEditor binds KeyZ->undo, Shift+KeyZ / KeyY->redo, and Undo/Redo buttons; onChange refreshes the buttons and marks the world dirty.","src/editor/CommandStack.js:45-96 (execute/push/undo/redo/_record); src/editor/WorldEditor.js:160 (CommandStack); src/editor/WorldEditor.js:929-936 (KeyZ/Shift+Z/KeyY); src/editor/WorldEditor.js:482-483,1142-1147 (buttons + _undo/_redo)","Ctrl/Cmd+Z, Shift+Z, Y + Undo/Redo buttons (editor mode)",npm run test:undo,Confirmed,High,High,code,WorldObjectCommands; CommandStack,Supersedes candidate US-017.,2026-06-22
GW-017,Editor / snapping (src/editor/SnapSettings.js),Grid snapping for transforms and placement,Author,"As an author, I can enable grid snapping so transforms and placements land on a regular grid.","SnapSettings (default OFF; grid 0.5m, rot 15deg, scale 0.25) snaps via snapToGrid/snapVec3; applyTo pushes translation/rotation/scale snap into TransformControls (or clears it when off); snapPlacement snaps new-object placement points when enabled; snapping is an editor authoring aid only - it never changes the serialized document schema.","src/editor/SnapSettings.js:22-40 (snap math); src/editor/SnapSettings.js:63-69 (applyTo); src/editor/SnapSettings.js:77-80 (snapPlacement); src/editor/WorldEditor.js:164,225,1016,1071 (SnapSettings wiring)",Editor snap toggle in sidebar (editor mode),npm run test:editor-ux1-unit,Confirmed,Medium,High,code+test,TransformControls,Supersedes candidate US-018. Editor-only; never serialized.,2026-06-22
GW-018,Editor / layers (src/editor/LayerModel.js),Hide and lock editor layers,Author,"As an author, I can hide and lock editor layers to focus and to prevent stray edits.","LayerModel owns hidden/locked Sets over EDITOR_LAYERS (objects/terrain/water/wildlife/ambient/weapons); setVisible fires onVisibility(id,visible) only on a real change (editor performs the scene toggle); a locked layer gates viewport selection (isObjectInLockedLayer); reset() restores all visible+unlocked on world load. CRITICAL: editor-session-only view state - NEVER written to the WorldDocument, so it can never hide content for a player.","src/editor/LayerModel.js:21-28 (EDITOR_LAYERS); src/editor/LayerModel.js:79-87 (setVisible); src/editor/LayerModel.js:110-122 (lock gates selection + reset); src/editor/WorldEditor.js:165,494 (LayerModel + LayersPanel)",Editor Layers panel (editor mode),npm run test:editor-ux1,Confirmed,Medium,High,code,LayersPanel; WorldObjectManager root visibility,Supersedes candidate US-019. Session-only; never persisted (verified in code).,2026-06-22
GW-019,Editor / persistence (src/editor/EditorAutosave.js),Debounced autosave with status,Author,"As an author, my edits autosave shortly after I stop so I do not lose work, with a visible status.",EditorAutosave runs idle->dirty->saving->saved|error; markDirty() arms a 1500ms debounce so an edit burst coalesces to one save; flush() saves immediately (before entering Play); reset() drops pending work on world load; the injected save fn persists via the editor serialize+localStorage path; failures set status=error + lastError. WorldEditor._markDirty() (called from every mutation incl. history onChange) drives it; flushAutosave() runs on the Play button.,"src/editor/EditorAutosave.js:11,57-70 (debounce/flush/reset); src/editor/EditorAutosave.js:79-90 (_run + error); src/editor/WorldEditor.js:167,1456-1457,1464 (EditorAutosave + _markDirty + flushAutosave)",Automatic (debounced) after edits; flush on Play (editor mode),npm run test:editor-ux1-unit,Confirmed,High,High,code+test,WorldSerializer; CommandStack onChange,Supersedes candidate US-020. Save error surfaces as a status label only - candidate UX gap for Phase E.,2026-06-22
GW-020,"Editor / colliders (src/editor/ColliderInspector.js, src/physics/ColliderProxy.js)",Configure collider proxy on an object,Author,"As an author, I can configure an object's collider proxy (type + grass/tree exclusion) so it blocks the player and clears vegetation appropriately.","ColliderInspector offers a type select (none/box/cylinder/plane-walkable/ramp/trigger) + a Wire debug toggle; changing the type fires onChange with {type, excludeGrass} which the editor writes to object.userData.collider and marks dirty; defaultColliderForAsset derives a per-asset-kind default; normalizeCollider clamps to the allow-list; validateWorldDocument allow-lists collider types on load/save so a bad collider cannot corrupt runtime; ColliderSystem consumes the proxy for player collision.","src/editor/ColliderInspector.js:12,31-36 (type select); src/editor/ColliderInspector.js:54-60 (onChange {type,excludeGrass}); src/physics/ColliderProxy.js:12-45 (default/normalize/types); src/editor/WorldEditor.js:535-544 (ColliderInspector wiring -> _markDirty)",Editor Collider inspector (editor mode),npm run test:world,Confirmed,Medium,High,component+code,ColliderProxy; ColliderSystem; WorldValidation collider allow-list,Supersedes candidate US-021.,2026-06-22
GW-021,Assets / import (src/assets/AssetImporter.js),Import GLB asset with budget gate,Author,"As an author, I can import a .glb/.gltf model into the asset library, and an over-budget model is refused before it is stored.","importGLTF parses the GLB (GLTFLoader), extracts animation metadata, computes a per-asset budget (triangles/materials/textures/nodes/maxDimension) and grades it ok/warn/reject; a reject verdict throws AssetBudgetError BEFORE storeAsset (the asset never reaches IndexedDB or the in-memory map); a warn asset is stored but flagged (budget.severity=warn); stored metadata holds bounds, default collider/exclusion, animation and budget; the binary lives in IndexedDB (reference-based, never embedded in the world doc).",src/assets/AssetImporter.js:13-48 (importGLTF + reject-before-store); src/assets/AssetBudget.js:22-29 (limits); src/assets/AssetBudget.js:48-90 (computeAssetBudget),Editor asset import (GLB) -> AssetLibrary,npm run test:asset-pipeline-proof,Confirmed,High,High,code+test,GLTFLoader; AssetLibrary; AssetBudget; AnimationMetadata,Supersedes candidate US-022. Reject-before-store verified in code; browser proof asserts capture + non-vacuous reject + persist-as-reference; pure-Node test:asset-pipeline covers the budget math.,2026-06-22
GW-022,Assets / relief tool (src/editor/ReliefAssetTool.js),Import image and build a 2D->3D relief asset,Author,"As an author, I can import an image or draw on a canvas and turn its luminance into an orbitable 3D relief asset I can place in the world.","ReliefAssetTool opens its own WebGL viewport; the source raster's luminance becomes height and its color becomes per-vertex color (heightScale/segments/smoothing/invert dials), producing a relief mesh; onCreateAsset hands the geometry to AssetImporter.importRelief which stores it (relief mime, bounds, default collider) and caches the geometry. Plain image import (importImage) stores an image asset with a default 4x3 plane bounds.","src/editor/ReliefAssetTool.js:14-51 (tool open + dials, luminance->height); src/assets/AssetImporter.js:50-67 (importImage); src/assets/AssetImporter.js:69-89 (importRelief)",Editor Relief tool + image import -> AssetLibrary,npm run test:asset-pipeline-proof,Confirmed,Medium,High,component+code,AssetImporter; AssetLibrary; AssetThumbnails,Supersedes candidate US-023. test:asset-pipeline-proof centers on GLB import; the relief-tool draw->mesh path is not separately asserted - Phase T coverage check.,2026-06-22
GW-023,"Prefabs (src/prefabs/PrefabLibrary.js, PrefabInstancer.js)",Create and place prefabs,Author,"As an author, I can save a selection of objects as a reusable prefab and place it into the world, with placed copies independent of the template.","PrefabLibrary.createFromObjects builds a prefab from serialized world-object descriptors (prefabFromWorldObjects), persists it (user tier) and de-dupes ids; PrefabInstancer.instantiate expands a prefab to normal world-object descriptors (each carrying prefabRef) via the manager, snapping the prefab origin to terrain height while preserving child offsets; deleting a prefab template never touches already-placed objects; a missing prefab falls back to a primitive.",src/prefabs/PrefabLibrary.js:69-82 (createFromObjects + persist); src/prefabs/PrefabLibrary.js:98-106 (delete leaves placed objects); src/prefabs/PrefabInstancer.js:28-47 (instantiate + terrain snap),Editor Prefab panel: save selection / place (editor mode),npm run test:prefabgen,Confirmed,High,High,code,PrefabSerializer; PrefabStore; WorldObjectManager; terrainSampling,Supersedes candidate US-024. test:prefabgen asserts prefab-backed placement (prefabRef) + builtin catalog + missing-prefab fallback; user-prefab SAVE (createFromObjects from a selection) is NOT directly asserted - Phase T coverage check.,2026-06-22
GW-024,"Prefabs / library (src/prefabs/PrefabLibrary.js, BuiltinKits.js)",Browse built-in and saved prefabs,Author,"As an author, I can browse a catalog of built-in kits and my saved prefabs to choose what to place.","PrefabLibrary.list returns built-ins first (system kits regenerated each init via createBuiltinPrefabs, sorted by name, never deletable/persisted) then user prefabs most-recent-first; get/has/isBuiltin resolve across both tiers; rename/delete/setThumbnail operate on user prefabs only; importManifest merges previously-unknown prefabs from a world manifest (existing kept).",src/prefabs/PrefabLibrary.js:42-63 (two-tier list/get/isBuiltin); src/prefabs/PrefabLibrary.js:36-39 (builtins via createBuiltinPrefabs); src/prefabs/PrefabLibrary.js:136-146 (importManifest),Editor Prefab panel catalog (src/editor/PrefabPanel.js),npm run test:prefabgen,Confirmed,Medium,High,code,BuiltinKits; PrefabStore; PrefabPanel,Supersedes candidate US-025. Candidate's test:genlib is the GENERATOR-library proof (mis-targeted); test:prefabgen only INDIRECTLY confirms the builtin catalog is listed (builtin-hut dropdown). No direct browse/list/rename/delete UI assertion - Phase T: add a prefab-library test or mark Deferred.,2026-06-22
GW-025,"Mods (src/mods/ModRegistry.js, ModExporter.js)",Import and export data-only mod packages,Author,"As an author, I can export my world as a data-only mod package and import a mod package, without any code execution and without clobbering my existing content.","ModExporter.buildWorldMod wraps the world in a worldpack (assets embedded once) + user prefab defs + builtin kit references; downloadModPackage/Zip emit .modpack.json/.zip. ModRegistry.install validates the package (refuses invalid), imports assets->AssetLibrary and prefabs->PrefabLibrary SKIPPING id collisions (never overwrites user content), records a provenance entry; NO code is ever executed; getModWorld returns an installed mod's world for the ?mod= play path; uninstall removes the entry but leaves contributed assets/prefabs.",src/mods/ModRegistry.js:53-133 (install + collision-skip + no-code-exec); src/mods/ModRegistry.js:136-140 (getModWorld); src/mods/ModExporter.js:21-33 (buildWorldMod); src/mods/ModExporter.js:112-123 (download); src/main.js:1110-1115 (?mod= load),Editor Mods panel (import/export) + ?mod= runtime load,,Confirmed,Medium,High,code,ModValidation; PlayableBuildExport (worldpack); AssetLibrary; PrefabLibrary,Supersedes candidate US-026. NO-AUTOMATED-COVERAGE: no mod test exists; candidate's test:asset-pipeline is the pure-Node budget regression and does NOT exercise mods. Phase T MUST write a mod import/export test or mark Deferred. Security-relevant (untrusted import): install validates + skips id collisions + executes no code (verified in code).,2026-06-22
GW-026,"Generators / city (src/generators/CityLayout.js, cityEmitter.js)",Generate a procedural city/town,Author,"As an author, I can generate a deterministic procedural city of roads, buildings, props and a landmark that I can then select, lock, or regenerate.","The Procedural panel generate() reads config (seed/style/blocks/density) and calls generateGeneratorObjects(city,...) -> generateCityLayout (seeded mulberry32 over seed:style -> identical layout per seed) -> cityLayoutToWorldObjects emitting NORMAL WorldObjects tagged layoutRole (path/building/vegetation/landmark) with a generatorId; counts hard-capped (roads 200/buildings 400/props 300, emitter total 1500); roads are receive-only (no shadow cast); the instance is recorded in document.generators.instances; Lock nulls generatorId (objects become permanent); regenerate picks a fresh seed.","src/generators/CityLayout.js:14-15 (seeded layout); src/generators/cityEmitter.js:31 (emit roles); src/generators/GeneratorRegistry.js:44-57,145 (registry + generateGeneratorObjects); src/editor/ProceduralPanel.js:39-62 (generate)",Editor Procedural panel -> Generate (type=city),npm run test:procedural,Confirmed,High,High,code+test,GeneratorConfig; emitHelpers (cap); InstancedWorldObjectRenderer,Supersedes candidate US-027. Generator internals confirmed via code trace; registry + generate() verified first-hand.,2026-06-22
GW-027,Generators / library (Camp/Ruin/Forest generators),"Generate camps, ruins, and forests",Author,"As an author, I can generate camp, ruin, and forest instances that coexist independently, each deterministic per seed.","Each type has a seeded layout + emitter registered in GENERATORS: camp emits tents (building) ringed around a fire (landmark) + crates (prop) + DATA-ONLY gameplay markers (spawn/trigger/sign/pickup) selectable like objects; ruin emits toppled walls (edge)/columns (prop)/rubble/central platform + sign; forest emits trees (trunk+canopy vegetation, kept atomic against the cap) + rocks; all deterministic via mulberry32(seed:style); tents are prefab-backed (builtin hut) with primitive fallback; Lock detaches a type's objects; multiple instances coexist via distinct generatorIds.","src/generators/CampGenerator.js:34,110; src/generators/RuinGenerator.js:20,88; src/generators/ForestGenerator.js:24,67; src/generators/GeneratorRegistry.js:58 (registry entries)",Editor Procedural panel -> Generate (camp/ruin/forest),npm run test:genlib,Confirmed,High,High,code+test,GeneratorConfig caps; PrefabLibrary (builtin hut),"Supersedes candidate US-028. test:genlib (Generator Library v1) asserts camp/ruin/forest coexist, data-only camp markers, deterministic regenerate, prefab fallback.",2026-06-22
GW-028,Generators / connectors (Connector/Road/Plaza generators),"Generate roads, plazas, and connectors linking anchors",Author,"As an author, I can generate roads and plazas, and a connector that links two generator instances by their origins.",A connector has NO origin - it is defined by two anchors (from/to resolved from generator instances via landmarkAnchors); generateConnectorLayout (seeded over seed:style:from->to) emits road-plane path segments (layoutRole path) via emitRoadPath + endpoint marker posts; the road generator emits path/avenue/crossroad widths + lamp posts; the plaza emits paving + central landmark + props + spawn/sign/trigger markers; the panel's anchor source slots list other generator instances to link; Lock detaches the connector only.,"src/generators/ConnectorGenerator.js:19,59; src/generators/RoadGenerator.js:33,85; src/generators/PlazaGenerator.js:23,70; src/generators/landmarkAnchors.js:10,20 (anchor resolve/list); src/editor/ProceduralPanel.js:119-120 (usesOrigin false)",Editor Procedural panel -> Generate (connector/road/plaza),npm run test:connectors,Confirmed,Medium,High,code+test,roadHelpers (emitRoadPath); GeneratorRegistry anchor slots,Supersedes candidate US-029.,2026-06-22
GW-029,"Generators / settlement layout (scripts/layout-gates.mjs, PlacementValidator.js)",Author and traverse a coherent settlement (layout QA),Player/Author,"As an author, I can compose a connected settlement (camp+plaza+city linked by a connector) that is readable and traversable - the player spawns clear of solids and can see a landmark.","The layout QA gate builds the real scene graph for village/camp/plaza/city and asserts: round-trip role stability; per-generator object cap; no building overlaps (validatePlacement, 25% vol tol); no path through a building (>15% footprint); valid markers (spawn/sign/trigger/pickup/door); >=1 landmark; a center within 12u of each cluster origin; spawn clearance (no solid within 2.5u); spawn sees the nearest landmark within 260u with line-of-sight; a connector links two distinct cluster origins within 30u. Runtime __LAYOUT_DEBUG__ exposes spawn/landmarks/role counts/instanced batches for the browser proof.",scripts/layout-gates.mjs:31-36 (thresholds); scripts/layout-gates.mjs:155-282 (assertions); src/generators/PlacementValidator.js:19 (validatePlacement); src/main.js:609-627 (__LAYOUT_DEBUG__),Editor compose + Play; deterministic gate qa:layout + browser proof,npm run test:settlement-layout,Confirmed,Medium,High,code+test,validatePlacement; landmarkAnchors; InstancedWorldObjectRenderer,Supersedes candidate US-030. qa:layout is the deterministic Node gate; test:settlement-layout is the in-browser proof reading __LAYOUT_DEBUG__.,2026-06-22
GW-030,Procedural authoring (src/world/authoring/AuthoringRuntime.js),Author splines/masks/modifiers (derived beacon trail),Author,"As an author, I can create splines, masks, and modifiers whose derived visuals (e.g. a beacon trail) rebuild from the document each load and are fully undoable.","The authoring block (splines/masks/modifiers) is the source of truth; AuthoringRuntime.load/rebuild derives one THREE.Group per enabled modifier - markers as a single InstancedMesh + the mask edge as a Torus (deriveBeaconTrail), runs in BOTH editor preview and play, idempotent load/clear/dispose, never baked into objects; a dangling spline reference is skipped (no crash). Editor edits go through Add/Remove/UpdateAuthoringItemCommand (pure-data mutations of doc.authoring + runtime.rebuild), undoable; the spline/mask edit gizmos are editor-only.",src/world/authoring/AuthoringRuntime.js:27-51 (load/rebuild derived); src/world/authoring/AuthoringRuntime.js:68-111 (_buildModifier markers+ring); src/editor/commands/AuthoringCommands.js:17-99 (Add/Remove/Update authoring commands),Editor Authoring panel + spline/mask edit tools (editor mode),npm run test:authoring-procedural-proof,Confirmed,Medium,High,code+test,BeaconTrailModifier; SplineEditTool; MaskEditTool; WorldRuntimeLoader,Supersedes candidate US-031.,2026-06-22
